% AB mag
% 1.2
% WD model 18000K log g=8 FUV=18.5mag
1116.125743 18.523043
1116.227698 18.523413
1116.329652 18.523782
1116.431606 18.524152
1116.533560 18.524526
1116.635514 18.524896
1116.737468 18.525267
1116.839422 18.525638
1116.941376 18.526010
1117.043331 18.526385
1117.145285 18.526757
1117.247239 18.527133
1117.349193 18.527506
1117.451147 18.527882
1117.553101 18.528255
1117.655055 18.528632
1117.757009 18.529006
1117.858963 18.529384
1117.960918 18.529759
1118.062872 18.530137
1118.164826 18.530512
1118.266780 18.530891
1118.368734 18.531270
1118.470688 18.531647
1118.572642 18.532027
1118.674596 18.532404
1118.776551 18.532781
1118.878505 18.533162
1118.980459 18.533540
1119.082413 18.533918
1119.184367 18.534297
1119.286321 18.534672
1119.388275 18.535051
1119.490229 18.535424
1119.592184 18.535801
1119.694138 18.536172
1119.796092 18.536546
1119.898046 18.536917
1120.000000 18.537285
1120.101954 18.537653
1120.203908 18.538019
1120.305862 18.538385
1120.407816 18.538751
1120.509771 18.539117
1120.611725 18.539481
1120.713679 18.539845
1120.815633 18.540212
1120.917587 18.540576
1121.019541 18.540941
1121.121495 18.541306
1121.223449 18.541672
1121.325404 18.542037
1121.427358 18.542403
1121.529312 18.542770
1121.631266 18.543136
1121.733220 18.543503
1121.835174 18.543870
1121.937128 18.544238
1122.039082 18.544606
1122.141037 18.544974
1122.242991 18.545346
1122.344945 18.545714
1122.446899 18.546083
1122.548853 18.546456
1122.650807 18.546826
1122.752761 18.547199
1122.854715 18.547573
1122.956669 18.547950
1123.058624 18.548324
1123.160578 18.548702
1123.262532 18.549081
1123.364486 18.549459
1123.466440 18.549838
1123.568394 18.550221
1123.670348 18.550600
1123.772302 18.550983
1123.874257 18.551367
1123.976211 18.551751
1124.078165 18.552132
1124.180119 18.552516
1124.282073 18.552901
1124.384027 18.553286
1124.485981 18.553671
1124.587935 18.554057
1124.689890 18.554443
1124.791844 18.554830
1124.893798 18.555217
1124.995752 18.555604
1125.097706 18.555991
1125.199660 18.556379
1125.301614 18.556771
1125.403568 18.557162
1125.505523 18.557555
1125.607477 18.557954
1125.709431 18.558353
1125.811385 18.558757
1125.913339 18.559163
1126.015293 18.559577
1126.117247 18.559995
1126.219201 18.560420
1126.321155 18.560849
1126.423110 18.561284
1126.525064 18.561724
1126.627018 18.562170
1126.728972 18.562617
1126.830926 18.563071
1126.932880 18.563526
1127.034834 18.563984
1127.136788 18.564442
1127.238743 18.564902
1127.340697 18.565364
1127.442651 18.565824
1127.544605 18.566288
1127.646559 18.566752
1127.748513 18.567213
1127.850467 18.567678
1127.952421 18.568144
